id,name,province,level,type,category,tags
S0167,中原工学院,四川,本科,公办,理工,普通
S0168,中原工学院,山东,本科,公办,理工,普通
S0169,中原工学院,广东,本科,公办,理工,普通
S0170,中原工学院,江苏,本科,公办,理工,普通
S0171,中原工学院,河北,本科,公办,理工,普通
S0172,中原工学院,河南,本科,公办,理工,普通
S0173,中原工学院,浙江,本科,公办,理工,普通
S0174,中原工学院,湖北,本科,公办,理工,普通
S0175,中原工学院,湖南,本科,公办,理工,普通
S0176,中原工学院,陕西,本科,公办,理工,普通
S0177,中国人民公安大学,北京,本科,,,
S0178,中国人民公安大学,浙江,本科,,,
S0179,中国人民大学,北京,本科,,,
S0180,中国人民大学,浙江,本科,,,
S0181,中国人民大学(苏州校区),北京,本科,,,
S0182,中国人民大学(苏州校区),浙江,本科,,,
S0183,中国人民警察大学,北京,本科,,,
S0184,中国人民警察大学,浙江,本科,,,
S0185,中国传媒大学,北京,本科,,,
S0186,中国传媒大学,浙江,本科,,,
S0187,中国农业大学,北京,本科,公办,农林,985
S0188,中国农业大学,四川,本科,公办,农林,985
S0189,中国农业大学,山东,本科,公办,农林,985
S0190,中国农业大学,广东,本科,公办,农林,985
S0191,中国农业大学,江苏,本科,公办,农林,985
S0192,中国农业大学,河北,本科,公办,农林,985
S0193,中国农业大学,河南,本科,公办,农林,985
S0194,中国农业大学,浙江,本科,公办,农林,985
S0195,中国农业大学,湖北,本科,公办,农林,985
S0196,中国农业大学,湖南,本科,公办,农林,985
S0197,中国农业大学,陕西,本科,公办,农林,985
S0198,中国刑事警察学院,北京,本科,,,
S0199,中国劳动关系学院,北京,本科,,,
S0200,中国劳动关系学院,浙江,本科,,,
S0201,中国医科大学,北京,本科,,,
S0202,中国医科大学,浙江,本科,,,
S0203,中国地质大学(北京),北京,本科,,,
S0204,中国地质大学(北京),浙江,本科,,,
S0205,中国地质大学(武汉),北京,本科,,,
S0206,中国地质大学(武汉),浙江,本科,,,
S0207,中国戏曲学院,北京,本科,,,
S0208,中国戏曲学院,浙江,本科,,,
S0209,中国政法大学,北京,本科,,,
S0210,中国政法大学,浙江,本科,,,
S0211,中国民用航空飞行学院,北京,本科,,,
S0212,中国民用航空飞行学院,浙江,本科,,,
S0213,中国民航大学,北京,本科,,,
S0214,中国民航大学,浙江,本科,,,
S0215,中国海洋大学,北京,本科,,,
S0216,中国海洋大学,浙江,本科,,,
S0217,中国消防救援学院,北京,本科,,,
S0218,中国石油大学(北京),北京,本科,,,
S0219,中国石油大学(北京),浙江,本科,,,
S0220,中国石油大学(北京)克拉 玛依校区,北京,本科,,,
S0221,中国石油大学(北京)克拉玛依校区,浙江,本科,,,
S0222,中国石油大学(华东),北京,本科,,,
S0223,中国石油大学(华东),浙江,本科,,,
S0224,中国矿业大学,北京,本科,,,
S0225,中国矿业大学,浙江,本科,,,
S0226,中国矿业大学(北京),北京,本科,,,
S0227,中国矿业大学(北京),浙江,本科,,,
S0228,中国社会科学院大学,北京,本科,,,
S0229,中国社会科学院大学,浙江,本科,,,
S0230,中国科学技术大学,北京,本科,公办,理工,985
S0231,中国科学技术大学,四川,本科,公办,理工,985
S0232,中国科学技术大学,山东,本科,公办,理工,985
S0233,中国科学技术大学,广东,本科,公办,理工,985
S0234,中国科学技术大学,江苏,本科,公办,理工,985
S0235,中国科学技术大学,河北,本科,公办,理工,985
S0236,中国科学技术大学,河南,本科,公办,理工,985
S0237,中国科学技术大学,浙江,本科,公办,理工,985
S0238,中国科学技术大学,湖北,本科,公办,理工,985
S0239,中国科学技术大学,湖南,本科,公办,理工,985
S0240,中国科学技术大学,陕西,本科,公办,理工,985
S0241,中国科学院大学,北京,本科,,,
S0242,中国科学院大学,浙江,本科,,,
S0243,中国美术学院,北京,本科,,,
S0244,中国美术学院,浙江,本科,,,
S0245,中国药科大学,北京,本科,,,
S0246,中国药科大学,浙江,本科,,,
S0247,中国计量大学,北京,本科,,,
S0248,中国计量大学,浙江,本科,,,
S0249,中国计量大学现代科技学院,浙江,本科,,,
S0250,中央司法警官学院,北京,本科,,,
S0251,中央戏剧学院,北京,本科,,,
S0252,中央戏剧学院,浙江,本科,,,
S0253,中央民族大学,北京,本科,,,
S0254,中央民族大学,浙江,本科,,,
S0255,中央美术学院,北京,本科,,,
S0256,中央美术学院,浙江,本科,,,
S0257,中央财经大学,北京,本科,,,
S0258,中央财经大学,浙江,本科,,,
S0259,中山大学,北京,本科,公办,综合,985
S0260,中山大学,四川,本科,公办,综合,985
S0261,中山大学,山东,本科,公办,综合,985
S0262,中山大学,广东,本科,公办,综合,985
S0263,中山大学,江苏,本科,公办,综合,985
S0264,中山大学,河北,本科,公办,综合,985
S0265,中山大学,河南,本科,公办,综合,985
S0266,中山大学,浙江,本科,公办,综合,985
S0267,中山大学,湖北,本科,公办,综合,985
S0268,中山大学,湖南,本科,公办,综合,985
S0269,中山大学,陕西,本科,公办,综合,985
S0270,临沂大学,浙江,本科,,,
S0271,丽水学院,浙江,本科,,,
S0272,丽水职业技术学院,浙江,本科,,,
S0273,丽江文化旅游学院,北京,本科,,,
S0274,丽江文化旅游学院,浙江,本科,,,
S0275,义乌工商职业技术学院,浙江,本科,,,
S0276,乐山师范学院,浙江,本科,,,
S0277,九江学院,北京,本科,,,
S0278,九江学院,浙江,本科,,,
S0279,九江职业大学,浙江,本科,,,
S0280,云南农业大学,北京,本科,,,
S0281,云南农业大学,浙江,本科,,,
S0282,云南医药健康职业学院,浙江,本科,,,
S0283,云南大学,北京,本科,,,
S0284,云南大学,浙江,本科,,,
S0285,云南工商学院,浙江,本科,,,
S0286,云南师范大学,北京,本科,,,
S0287,云南师范大学,浙江,本科,,,
S0288,云南民族大学,浙江,本科,,,
S0289,云南经济管理学院,浙江,本科,,,
S0290,云南艺术学院,浙江,本科,,,
S0291,云南财经大学,北京,本科,,,
S0292,云南财经大学,浙江,本科,,,
S0293,井冈山大学,北京,本科,,,
S0294,井冈山大学,浙江,本科,,,
S0295,京 上海电力大学,北京,本科,,,
S0296,京 上饶师范学院,北京,本科,,,
S0297,京 中国传媒大学,北京,本科,,,
S0298,京 中国政法大学,北京,本科,,,
S0299,京 中国民航大学,北京,本科,,,
S0300,京 中国海洋大学,北京,本科,,,
S0301,京 中国音乐学院,北京,本科,,,
S0302,京 兰州大学,北京,本科,,,
S0303,京 北京中医药大学东方学院,北京,本科,,,
S0304,京 北京交通大学,北京,本科,,,
S0305,京 北京信息科技大学,北京,本科,,,
S0306,京 北京农学院,北京,本科,,,
S0307,京 北京大学医学部,北京,本科,,,
S0308,京 北京工业大学耿丹学院,北京,本科,,,
S0309,京 北京师范大学(珠海校区),北京,本科,,,
S0310,京 北京林业大学,北京,本科,,,
S0311,京 北京联合大学,北京,本科,,,
S0312,京 华东政法大学,北京,本科,,,
S0313,京 华东理工大学,北京,本科,,,
S0314,京 华侨大学,北京,本科,,,
S0315,京 华北水利水电大学,北京,本科,,,
S0316,京 华北电力大学(保定),北京,本科,,,
S0317,京 南京医科大学,北京,本科,,,
S0318,京 哈尔滨工业大学,北京,本科,,,
S0319,京 哈尔滨师范大学,北京,本科,,,
S0320,京 四川大学,北京,本科,,,
S0321,京 外交学院,北京,本科,,,
S0322,京 大连海事大学,北京,本科,,,
S0323,京 天津商业大学,北京,本科,,,
S0324,京 山东师范大学,北京,本科,,,
S0325,京 山西医科大学,北京,本科,,,
S0326,京 成都理工大学,北京,本科,,,
S0327,京 扬州大学,北京,本科,,,
S0328,京 新疆财经大学,北京,本科,,,
S0329,京 杭州电子科技大学,北京,本科,,,
S0330,京 桂林电子科技大学,北京,本科,,,
S0331,京 武汉理工大学,北京,本科,,,
S0332,京 江南大学,北京,本科,,,
S0333,京 河北医科大学,北京,本科,,,
S0334,京 河南医药大学,北京,本科,,,
S0335,京 海军军医大学,北京,本科,,,
S0336,京 温州肯恩大学,北京,本科,,,
S0337,京 湖北大学,北京,本科,,,
S0338,京 湖南科技大学,北京,本科,,,
S0339,京 湖南第一师范学院,北京,本科,,,
S0340,京 西安交通大学,北京,本科,,,
S0341,京 贵州大学,北京,本科,,,
S0342,京 辽宁科技大学,北京,本科,,,
S0343,京 重庆大学,北京,本科,,,
S0344,京 锦州医科大学医疗学院,北京,本科,,,
S0345,京 长春工业大学,北京,本科,,,
S0346,京 陕西中医药大学,北京,本科,,,
S0347,京 首都师范大学,北京,本科,,,
S0348,京 首都经济贸易大学,北京,本科,,,
S0349,京 香港中文大学,北京,本科,,,
S0350,仙桃职业学院,浙江,本科,,,
S0351,仰恩大学,浙江,本科,,,
S0352,伊犁师范大学,浙江,本科,,,
S0353,佳木斯大学,北京,本科,,,
S0354,佳木斯大学,浙江,本科,,,
S0355,保定理工学院,北京,本科,,,
S0356,保定理工学院,浙江,本科,,,
S0357,保定电力职业技术学院,浙江,本科,,,
S0358,信息支援部队工程大学,北京,本科,,,
S0359,信阳农林学院,浙江,本科,,,
S0360,信阳师范大学,浙江,本科,,,
S0361,兰州交通大学,北京,本科,,,
S0362,兰州交通大学,浙江,本科,,,
S0363,兰州信息科技学院,浙江,本科,,,
S0364,兰州博文科技学院,浙江,本科,,,
S0365,兰州城市学院,浙江,本科,,,
S0366,兰州大学,北京,本科,,,
S0367,兰州大学,浙江,本科,,,
S0368,兰州工业学院,浙江,本科,,,
S0369,兰州工商学院,浙江,本科,,,
S0370,兰州理工大学,北京,本科,,,
S0371,兰州理工大学,浙江,本科,,,
S0372,兰州石化职业技术大学,浙江,本科,,,
S0373,兰州财经大学,北京,本科,,,
S0374,兰州财经大学,浙江,本科,,,
S0375,兰州资源环境职业技术大学,浙江,本科,,,
S0376,内江师范学院,浙江,本科,,,
S0377,内蒙古农业大学,北京,本科,,,
S0378,内蒙古农业大学,浙江,本科,,,
S0379,内蒙古医科大学,北京,本科,,,
S0380,内蒙古医科大学,浙江,本科,,,
S0381,内蒙古大学,北京,本科,,,
S0382,内蒙古大学,浙江,本科,,,
S0383,内蒙古工业大学,浙江,本科,,,
S0384,内蒙古师范大学,浙江,本科,,,
S0385,内蒙古民族大学,浙江,本科,,,
S0386,内蒙古科技大学,北京,本科,,,
S0387,内蒙古科技大学,浙江,本科,,,
S0388,内蒙古科技大学包头师范学院,浙江,本科,,,
S0389,内蒙古艺术学院,北京,本科,,,
S0390,内蒙古财经大学,浙江,本科,,,
S0391,军事航天部队航天工程大学,北京,本科,,,
S0392,北 东北大学秦皇岛分校,北京,本科,,,
S0393,北 中国传媒大学,北京,本科,,,
S0394,北 中国戏曲学院,北京,本科,,,
S0395,北 中国政法大学,北京,本科,,,
S0396,北 中国海洋大学,北京,本科,,,
S0397,北 中国石油大学(北京)克拉 玛依校区,北京,本科,,,
S0398,北 北京交通大学,北京,本科,,,
S0399,北 北京信息科技大学,北京,本科,,,
S0400,北 北京农学院,北京,本科,,,
S0401,北 北京林业大学,北京,本科,,,
S0402,北 北京第二外国语学院中瑞 酒店管理学院,北京,本科,,,
S0403,北 北京联合大学,北京,本科,,,
S0404,北 北京航空航天大学,北京,本科,,,
S0405,北 华东师范大学,北京,本科,,,
S0406,北 华东政法大学,北京,本科,,,
S0407,北 南京医科大学,北京,本科,,,
S0408,北 南京工程学院,北京,本科,,,
S0409,北 合肥工业大学,北京,本科,,,
S0410,北 吉林师范大学,北京,本科,,,
S0411,北 哈尔滨工程大学,北京,本科,,,
S0412,北 四川大学,北京,本科,,,
S0413,北 大庆师范学院,北京,本科,,,
S0414,北 大连东软信息学院,北京,本科,,,
S0415,北 大连理工大学,北京,本科,,,
S0416,北 天津科技大学,北京,本科,,,
S0417,北 天津财经大学,北京,本科,,,
S0418,北 山东航空学院,北京,本科,,,
S0419,北 山西师范大学,北京,本科,,,
S0420,北 常德学院,北京,本科,,,
S0421,北 广东海洋大学,北京,本科,,,
S0422,北 广西师范大学,北京,本科,,,
S0423,北 武汉理工大学,北京,本科,,,
S0424,北 江南大学,北京,本科,,,
S0425,北 江西财经大学,北京,本科,,,
S0426,北 沈阳建筑大学,北京,本科,,,
S0427,北 沧州交通学院,北京,本科,,,
S0428,北 河北师范大学,北京,本科,,,
S0429,北 洛阳理工学院,北京,本科,,,
S0430,北 浙江工业大学,北京,本科,,,
S0431,北 湖北医药学院药护学院,北京,本科,,,
S0432,北 福建农林大学,北京,本科,,,
S0433,北 西北民族大学,北京,本科,,,
S0434,北 西南大学,北京,本科,,,
S0435,北 西南科技大学,北京,本科,,,
S0436,北 西安工业大学,北京,本科,,,
S0437,北 西安电子科技大学,北京,本科,,,
S0438,北 贵州中医药大学,北京,本科,,,
S0439,北 郑州轻工业大学,北京,本科,,,
S0440,北 长沙理工大学,北京,本科,,,
S0441,北 首都师范大学,北京,本科,,,
S0442,北 首都经济贸易大学,北京,本科,,,
S0443,北京中医药大学,北京,本科,,,
S0444,北京中医药大学,浙江,本科,,,
S0445,北京中医药大学东方学院,北京,本科,,,
S0446,北京中医药大学东方学院,浙江,本科,,,
S0447,北京交通大学,北京,本科,,,
S0448,北京交通大学,浙江,本科,,,
S0449,北京交通大学(威海校区),北京,本科,,,
S0450,北京交通大学(威海校区),浙江,本科,,,
S0451,北京体育大学,北京,本科,,,
S0452,北京体育大学,浙江,本科,,,
S0453,北京信息科技大学,北京,本科,,,
S0454,北京信息科技大学,浙江,本科,,,
S0455,北京信息科技大学 (张家口校区),北京,本科,,,
S0456,北京信息科技大学(张家 口校区),北京,本科,,,
S0457,北京信息科技大学（京津 冀职教改革项目）,北京,本科,,,
S0458,北京农学院,北京,本科,,,
S0459,北京农学院,浙江,本科,,,
S0460,北京化工大学,北京,本科,,,
S0461,北京化工大学,浙江,本科,,,
S0462,北京协和医学院,北京,本科,,,
S0463,北京协和医学院,浙江,本科,,,
S0464,北京印刷学院,北京,本科,,,
S0465,北京印刷学院,浙江,本科,,,
S0466,北京城市学院,北京,本科,,,
S0467,北京城市学院,浙江,本科,,,
S0468,北京外国语大学,北京,本科,,,
S0469,北京外国语大学,浙江,本科,,,
S0470,北京大学,北京,本科,公办,综合,top
S0471,北京大学,四川,本科,公办,综合,top
S0472,北京大学,山东,本科,公办,综合,top
S0473,北京大学,广东,本科,公办,综合,top
S0474,北京大学,江苏,本科,公办,综合,top
S0475,北京大学,河北,本科,公办,综合,top
S0476,北京大学,河南,本科,公办,综合,top
S0477,北京大学,浙江,本科,公办,综合,top
S0478,北京大学,湖北,本科,公办,综合,top
S0479,北京大学,湖南,本科,公办,综合,top
S0480,北京大学,陕西,本科,公办,综合,top
S0481,北京大学医学部,北京,本科,,,
S0482,北京大学医学部,浙江,本科,,,
S0483,北京工业大学,北京,本科,,,
S0484,北京工业大学,浙江,本科,,,
S0485,北京工业大学耿丹学院,北京,本科,,,
S0486,北京工业大学耿丹学院,浙江,本科,,,
S0487,北京工商大学,北京,本科,,,
S0488,北京工商大学,浙江,本科,,,
S0489,北京工商大学(京津冀职 教改革项目),北京,本科,,,
S0490,北京师范大学,北京,本科,公办,师范,985
S0491,北京师范大学,四川,本科,公办,师范,985
S0492,北京师范大学,山东,本科,公办,师范,985
S0493,北京师范大学,广东,本科,公办,师范,985
S0494,北京师范大学,江苏,本科,公办,师范,985
S0495,北京师范大学,河北,本科,公办,师范,985
S0496,北京师范大学,河南,本科,公办,师范,985
S0497,北京师范大学,浙江,本科,公办,师范,985
S0498,北京师范大学,湖北,本科,公办,师范,985
S0499,北京师范大学,湖南,本科,公办,师范,985
S0500,北京师范大学,陕西,本科,公办,师范,985
S0501,北京师范大学(珠海校区),北京,本科,,,
S0502,北京建筑大学,北京,本科,,,
S0503,北京服装学院,北京,本科,,,
S0504,北京服装学院,浙江,本科,,,
S0505,北京服装学院（京津冀职教 改革项目）,北京,本科,,,
S0506,北京林业大学,北京,本科,,,
S0507,北京林业大学,浙江,本科,,,
S0508,北京汇佳职业学院,浙江,本科,,,
S0509,北京物资学院,北京,本科,,,
S0510,北京物资学院,浙江,本科,,,
S0511,北京理工大学,北京,本科,公办,理工,985
S0512,北京理工大学,四川,本科,公办,理工,985
S0513,北京理工大学,山东,本科,公办,理工,985
S0514,北京理工大学,广东,本科,公办,理工,985
S0515,北京理工大学,江苏,本科,公办,理工,985
S0516,北京理工大学,河北,本科,公办,理工,985
S0517,北京理工大学,河南,本科,公办,理工,985
S0518,北京理工大学,浙江,本科,公办,理工,985
S0519,北京理工大学,湖北,本科,公办,理工,985
S0520,北京理工大学,湖南,本科,公办,理工,985
S0521,北京理工大学,陕西,本科,公办,理工,985
S0522,北京电子科技学院,北京,本科,,,
S0523,北京电影学院,北京,本科,,,
S0524,北京电影学院,浙江,本科,,,
S0525,北京石油化工学院,北京,本科,,,
S0526,北京石油化工学院,浙江,本科,,,
S0527,北京科技大学,北京,本科,,,
S0528,北京科技大学,浙江,本科,,,
S0529,北京科技大学天津学院,北京,本科,,,
S0530,北京科技大学天津学院,浙江,本科,,,
S0531,北京科技职业大学,北京,本科,,,
S0532,北京科技职业大学,浙江,本科,,,
S0533,北京科技职业学院,浙江,本科,,,
S0534,北京第二外国语学 院,北京,本科,,,
S0535,北京第二外国语学院,北京,本科,,,
S0536,北京第二外国语学院,浙江,本科,,,
S0537,北京第二外国语学院中瑞 酒店管理学院,北京,本科,,,
S0538,北京第二外国语学院中瑞酒店管理学院,浙江,本科,,,
S0539,北京联合大学,北京,本科,,,
S0540,北京联合大学,浙江,本科,,,
S0541,北京联合大学（京津冀职 教改革项目）,北京,本科,,,
S0542,北京舞蹈学院,北京,本科,,,
S0543,北京舞蹈学院,浙江,本科,,,
S0544,北京航空航天大学,北京,本科,公办,理工,985
S0545,北京航空航天大学,四川,本科,公办,理工,985
S0546,北京航空航天大学,山东,本科,公办,理工,985
